UTC_DATE,UTC_TIME,ECEF_X,ECEF_Y,ECEF_Z,LATITUDE,LONGITUDE,HEIGHT
2014.11.06,14:01:02,4082422,1404249,4679811,47.4998055,18.9819098,444.7
2014.11.06,19:00:59,4082416,1404514,4679749,47.4988948,18.9852613,453.4
2014.11.06,22:01:25,4082393,1404442,4679766,47.4992976,18.9844571,435.41
2014.11.07,04:01:40,4081616,1404954,4680284,47.5062121,18.9942383,433.55
2014.11.07,14:02:40,4082196,1404370,4679953,47.5018244,18.984404,431.61
2014.11.07,19:00:55,4082191,1404370,4679924,47.5016795,18.9844256,407.04
2014.11.07,22:01:42,4082424,1404522,4679739,47.4987666,18.9853272,452.9
2014.11.08,04:01:24,4082417,1404251,4679825,47.4999176,18.9819565,452.27
2014.11.08,14:00:56,4082436,1404258,4679816,47.4997287,18.9819623,459.31
2014.11.08,19:00:54,4082469,1404279,4679783,47.499276,18.9820834,460.68
2014.11.08,22:00:50,4082450,1404097,4679883,47.5003952,18.9798813,482.28
2014.11.11,04:00:55,4081822,1403472,4680429,47.5089985,18.9747473,346.39
2014.11.11,14:00:56,4081785,1403543,4680459,47.5092597,18.9757982,360.47
2014.11.11,19:00:50,4081669,1403540,4680377,47.5094955,18.9762613,225.25
2014.11.11,22:03:09,4081532,1402994,4680641,47.5131359,18.9699982,212.51
2014.11.12,04:01:23,4081453,1403397,4680711,47.5131876,18.9753985,302.17
2014.11.12,14:00:53,4081463,1403374,4680793,47.5136726,18.9750666,363.97
2014.11.12,19:01:17,4080986,1403733,4680947,47.5168255,18.9816329,251.74
2014.11.13,04:01:33,4082098,1403986,4680117,47.5042636,18.9800076,405.55
2014.11.13,14:00:56,4081828,1403955,4680305,47.5071658,18.9807841,364.88
2014.11.13,19:00:49,4081832,1403960,4680316,47.5071968,18.9808296,376.65
2014.11.13,22:01:31,4081913,1403990,4680254,47.5062474,18.9808565,389.26
2014.11.14,04:01:15,4082085,1404211,4680038,47.5033798,18.9828877,388.43
2014.11.14,14:01:00,4081973,1404089,4680164,47.5051109,18.98184,382.98
2014.11.14,19:00:53,4082043,1404067,4680159,47.504689,18.9812617,419.18
2014.11.14,22:01:19,4082337,1403951,4680001,47.5021356,18.9785367,465.01
2014.11.17,04:01:29,4081935,1403988,4680218,47.5058951,18.9807364,376.33
2014.11.17,14:00:59,4081945,1404033,4680218,47.5057353,18.9812581,392.61
2014.11.17,19:01:29,4081761,1403764,4680419,47.5086905,18.9786759,364.19
2014.11.17,22:01:22,4082199,1403450,4680137,47.5049076,18.9728441,367.07
2014.11.18,04:01:53,4081925,1404029,4680201,47.5057661,18.9812942,366.42
2014.11.18,14:00:49,4081975,1404081,4680156,47.505067,18.981731,376.6
2014.11.18,19:01:39,4082102,1404112,4680043,47.5035172,18.9815718,381.23
2014.11.18,22:01:30,4082091,1403995,4680128,47.5043549,18.9801508,411.16
2014.11.19,04:01:18,4081926,1404042,4680243,47.5059869,18.981453,400.88
2014.11.19,14:00:59,4081914,1403958,4680264,47.506371,18.9804505,390.25
2014.11.19,19:01:30,4081889,1403985,4680260,47.5064452,18.9808973,377.26
2014.11.19,22:00:48,4081793,1403738,4680415,47.5085216,18.9782114,375.97
2014.11.20,04:01:59,4081923,1404019,4680193,47.5057516,18.9811773,357.05
2014.11.20,14:01:52,4081913,1404004,4680201,47.5058953,18.9810322,353.26
2014.11.20,19:01:30,4081913,1404030,4680191,47.5057784,18.9813586,351.6
2014.11.20,22:01:17,4081946,1404050,4680228,47.5057531,18.9814671,404.36
2014.11.21,04:01:51,4081936,1404017,4680244,47.5059842,18.9810961,402.52
