UTC_DATE;UTC_TIME;ECEF_X;ECEF_Y;ECEF_Z;LATITUDE;LONGITUDE;HEIGHT
2014.12.10;14:01:45;4082483;1404245;4679841;47,4996139;18,9815963;504,91
2014.12.10;19:00:56;4082453;1404241;4679819;47,499677;18,9816756;468,65
2014.12.10;22:01:51;4082527;1404184;4679771;47,4990443;18,9806408;468,01
2014.12.11;04:01:51;4082424;1404258;4679838;47,4999376;18,9820141;467,87
2014.12.11;14:01:48;4082432;1404259;4679840;47,4998974;18,9819921;474,67
2014.12.11;19:01:48;4082423;1404255;4679826;47,4998774;18,9819808;457,72
2014.12.11;22:01:51;4082471;1404262;4679784;47,4993062;18,9818614;458,96
2014.12.12;04:01:35;4082476;1403617;4680006;47,5020145;18,9737449;484,12
2014.12.12;14:00:56;4082422;1404260;4679843;47,4999762;18,9820478;470,71
2014.12.12;19:01:02;4082434;1404260;4679836;47,4998584;18,981996;473,22
2014.12.12;22:01:26;4082407;1404422;4679795;47,4994292;18,9841456;461,34
2014.12.13;04:01:56;4082562;1404206;4679726;47,4985039;18,9807658;462,03
2014.12.13;14:01:02;4082425;1404246;4679832;47,4999207;18,9818592;461,44
2014.12.13;19:00:59;4082423;1404250;4679833;47,4999307;18,981918;461,78
2014.12.13;22:01:50;4082252;1404198;4679952;47,5018382;18,9820036;428,85
2014.12.14;04:02:39;4082239;1403822;4680075;47,5034779;18,9773406;428,62
2014.12.14;14:01:48;4082425;1404257;4679845;47,499976;18,9819972;473,45
2014.12.14;19:01:23;4082427;1404256;4679845;47,4999656;18,981976;474,5
2014.12.14;22:00:59;4082499;1404211;4679805;47,4993682;18,9811005;481,12
2014.12.17;04:01:59;4081712;1403784;4680455;47,5091734;18,9791385;363,83
2014.12.17;14:02:18;4081785;1403511;4680490;47,509517;18,9753965;376,3
2014.12.17;19:00:55;4081787;1403513;4680472;47,5093908;18,975413;364,74
2014.12.17;22:01:29;4081910;1403594;4680344;47,5076671;18,9758989;366,72
2014.12.18;04:01:16;4082160;1403666;4680104;47,5044859;18,9757236;365,27
2014.12.18;14:01:42;4082023;1403566;4680308;47,5068001;18,9750597;406,21
2014.12.18;19:01:29;4082005;1403555;4680280;47,5067666;18,9749993;371,64
2014.12.18;22:02:21;4082144;1403651;4680139;47,5048313;18,9756044;377,56
2014.12.19;04:01:52;4082011;1403559;4680274;47,5066839;18,9750236;371,93
2014.12.19;14:00:59;4082012;1403561;4680299;47,5068252;18,9750444;391,44
2014.12.19;19:00:55;4082019;1403557;4680279;47,5066684;18,974964;380,29
2014.12.19;22:02:21;4082131;1403593;4680167;47,505208;18,9749325;377,16
2014.12.20;04:02:46;4081922;1403584;4680352;47,507662;18,9757215;378,09
2014.12.20;14:01:00;4082004;1403562;4680302;47,5068914;18,9750915;388,77
2014.12.20;19:00:59;4082019;1403555;4680285;47,5067092;18,9749389;384,27
2014.12.21;14:01:30;4082005;1403567;4680284;47,506765;18,9751499;377,23
2014.12.21;19:01:17;4082006;1403560;4680280;47,5067495;18,9750577;373,38
2014.12.21;22:01:15;4082046;1403562;4680244;47,5062757;18,9749102;372,83
2014.12.22;04:02:52;4081926;1403463;4680376;47,5080436;18,9741854;371,76
2014.12.22;14:01:00;4081806;1403473;4680438;47,5091513;18,9748289;343,02
2014.12.22;19:01:21;4082064;1403379;4680250;47,5065938;18,9725355;348,56
2014.12.22;22:01:29;4081793;1403547;4680467;47,5092495;18,9758139;372,35
2014.12.23;04:02:17;4081930;1403587;4680356;47,5076297;18,9757247;386,8
2014.12.23;14:01:04;4081801;1403474;4680449;47,5092474;18,974863;348,16
2014.12.23;19:01:29;4081812;1403472;4680418;47,5089943;18,9747904;331,89
2014.12.23;22:01:47;4081825;1403472;4680436;47,5090222;18,9747343;353,46
2014.12.24;04:03:04;4081906;1403578;4680335;47,507672;18,9757153;354,01
2014.12.24;14:01:29;4081775;1403555;4680467;47,5093451;18,975992;362,61
2014.12.24;19:01:54;4081669;1403555;4680526;47,5103683;18,9764496;338,41
2014.12.24;22:02:00;4081719;1403733;4680436;47,5091241;18,9784681;343,08
2014.12.25;04:01:17;4081726;1403818;4680427;47,5088422;18,9795049;359,59
2014.12.25;14:00:48;4081859;1403802;4680348;47,5075627;18,9787299;382,78
2014.12.25;19:01:23;4081823;1403886;4680355;47,5076498;18,9799396;383,4
2014.12.25;22:02:17;4081870;1403952;4680292;47,5068299;18,9805652;381,47
2014.12.26;04:01:59;4082062;1404105;4680123;47,5042691;18,9816566;413,12
2014.12.26;14:00:55;4081927;1404003;4680226;47,5059615;18,9809592;380,42
2014.12.26;19:00:59;4081897;1404061;4680224;47,5060124;18,9818167;372,52
2014.12.26;22:01:56;4081859;1403790;4680338;47,5075278;18,9785792;372,77
2014.12.27;04:01:58;4081786;1403554;4680470;47,5092965;18,975932;371,63
2014.12.27;14:01:00;4081774;1403512;4680465;47,5094319;18,9754566;351,06
2014.12.27;19:01:21;4081780;1403510;4680467;47,5094108;18,9754056;355,92
2014.12.27;22:02:40;4082056;1403238;4680307;47,5072943;18,9708001;354,51
2014.12.28;04:01:41;4081803;1403590;4680668;47,5103151;18,9763105;536,4
2014.12.28;14:01:18;4081783;1403548;4680465;47,5092979;18,9758696;364,71
2014.12.28;19:01:32;4081716;1403568;4680500;47,5098876;18,9764099;352,12
2014.12.28;22:03:03;4081920;1403528;4680350;47,5077832;18,9750272;363,03
2014.12.31;04:01:01;4081738;1403742;4680448;47,5090584;18,9784991;366,05
2014.12.31;14:01:00;4081727;1403741;4680444;47,5091053;18,978534;355,85
2014.12.31;19:01:29;4081724;1403587;4680493;47,5097539;18,9766138;356,24
2015.01.01;14:00:49;4081505;1403561;4680682;47,5123316;18,9772328;350,01
2015.01.01;19:01:01;4081490;1403393;4680755;47,5132315;18,9751886;357,37
2015.01.01;22:00:52;4081518;1403404;4680769;47,5131172;18,9752058;387,99
2015.01.02;14:00:50;4081500;1403557;4680682;47,5123716;18,9772042;345,94
2015.01.02;19:01:00;4081546;1403554;4680600;47,5115914;18,976968;314,2
2015.01.02;22:00:56;4081526;1403383;4680710;47,5127539;18,9749076;344,98
2015.01.03;04:01:52;4081505;1403556;4680676;47,5123059;18,9771701;344,49
2015.01.03;14:01:18;4081492;1403526;4680660;47,512355;18,9768496;317,8
2015.01.03;19:01:29;4081180;1403781;4680822;47,5147459;18,9813978;294
2015.01.03;22:01:41;4081415;1403390;4680747;47,5136597;18,9754747;302,91
2015.01.04;19:01:43;4081565;1403549;4680721;47,5122181;18,9768232;414,46
2015.01.04;22:01:52;4081559;1403383;4680770;47,5129114;18,9747652;410,3
2015.01.05;04:01:55;4081540;1403575;4680727;47,5123553;18,9772575;408,63
2015.01.05;19:02:45;4081043;1403875;4681068;47,5168966;18,9831695;408,57
2015.01.05;22:01:51;4081561;1403545;4680716;47,5122214;18,9767902;407,34
2015.01.06;14:00:56;4081283;1403335;4680893;47,5154931;18,975354;314,19
