UTC_DATE,UTC_TIME,ECEF_X,ECEF_Y,ECEF_Z,LATITUDE,LONGITUDE,HEIGHT
2015.09.20,22:01:48,4082075,1404015,4680148,47.5045336,18.9804709,420.08
2015.09.21,04:01:47,4081800,1403541,4680468,47.5092246,18.9757084,376.25
2015.09.21,14:00:57,4081794,1403546,4680474,47.5092879,18.975797,377.94
2015.09.21,19:01:49,4081925,1403590,4680380,47.5078004,18.9757839,401.97
2015.09.21,22:02:10,4082315,1403711,4680031,47.5029734,18.9756194,420.35
2015.09.22,04:01:47,4082476,1404222,4679735,47.4990633,18.9813378,417.24
2015.09.22,14:00:59,4082418,1404264,4679829,47.4999076,18.9821153,458.72
2015.09.22,19:01:01,4082416,1404307,4679821,47.4997788,18.9826636,460.99
2015.09.22,22:01:29,4082504,1404262,4679793,47.4991539,18.9817189,486.68
2015.09.23,04:01:23,4081790,1403548,4680486,47.5093815,18.9758394,384.67
2015.09.23,14:01:43,4081788,1403512,4680499,47.5095507,18.9753961,385.07
2015.09.23,19:01:00,4081928,1403572,4680362,47.507711,18.975545,386.66
2015.09.23,22:02:51,4082112,1403591,4680194,47.5054955,18.9749894,384.49
2015.09.24,04:01:50,4081997,1404079,4680147,47.5048786,18.9816109,383.58
2015.09.24,14:00:55,4081978,1404094,4680171,47.5051112,18.9818812,392.44
2015.09.24,19:01:02,4081922,1404042,4680255,47.5060849,18.9814703,407.18
2015.09.24,22:01:40,4082023,1404033,4680167,47.5049363,18.9809213,404.83
2015.09.25,04:01:46,4081922,1404048,4680247,47.5060234,18.9815456,402.6
2015.09.25,14:01:53,4081850,1403935,4680314,47.5071257,18.9804381,381.18
2015.09.25,19:01:35,4081706,1403776,4680492,47.5094531,18.979064,385.52
2015.09.25,22:03:04,4081738,1403810,4680429,47.5087963,18.9793526,366.97
2015.09.26,14:01:29,4081375,1403338,4680877,47.5148124,18.9749945,361.81
2015.09.26,19:01:23,4081576,1403257,4680695,47.5126209,18.9731101,338.19
2015.09.27,14:01:00,4081239,1403323,4680918,47.5159469,18.9753933,301.88
2015.09.27,19:01:29,4081457,1403382,4680793,47.513693,18.9751929,361.9
2015.09.27,22:03:05,4081535,1403512,4680661,47.5121216,18.9764882,342.93
2015.09.28,04:02:17,4081698,1403377,4680559,47.5107708,18.9740899,342.18
2015.09.28,14:01:51,4081751,1403554,4680458,47.5094431,18.976083,340.43
2015.09.28,19:01:52,4081685,1403551,4680514,47.5102037,18.9763303,338.91
2015.09.28,22:01:03,4081698,1403593,4680488,47.5098736,18.9768014,337.26
2015.09.29,14:00:48,4081962,1404081,4680167,47.5052153,18.9817871,376.41
2015.09.29,19:01:53,4082003,1404066,4680188,47.5051182,18.9814219,414.79
2015.09.29,22:01:30,4081967,1404084,4680177,47.5052382,18.9818032,387.64
2015.09.30,04:01:00,4081801,1403723,4680422,47.5085463,18.9779886,382.94
2015.09.30,14:01:21,4081838,1403942,4680320,47.5072223,18.9805778,379.48
2015.09.30,19:01:29,4081711,1403807,4680443,47.5090572,18.9794315,359.39
2015.09.30,22:02:45,4081644,1403130,4680702,47.5125107,18.9712222,358.89
2015.10.01,04:01:02,4081476,1403382,4680812,47.5136892,18.9751109,388.04
2015.10.01,14:01:17,4081465,1403373,4680793,47.5136622,18.9750454,365.03
2015.10.01,19:01:02,4081393,1403474,4680866,47.5143394,18.9766241,395.06
2015.10.01,22:02:24,4081058,1403951,4681013,47.5163045,18.9840588,394.29
2015.10.02,04:01:54,4081464,1403401,4680824,47.5137964,18.9754012,393.4
2015.10.02,14:01:00,4081533,1403301,4680794,47.5133971,18.973848,393.39
2015.10.02,19:00:55,4081700,1403217,4680586,47.5112672,18.9720727,328.23
